2.18443536	.19288614
2.28128292	.16279819
2.37839145	.11294313
2.47573027	.00639377
2.57327322	-.02821165
2.62211315	-.12120728
2.67099599	-.13460730
2.71991941	-.12528758
2.76888128	-.16228881
2.79337649	-.17315862
2.81788057	-.17686756
2.84239329	-.18093871
2.86691442	-.18426691
2.89144377	-.18656947
2.91598111	-.18812781
2.94052624	-.18926063
2.96507898	-.19009069
2.98963914	-.19055650
3.01420653	-.19043447
3.03878098	-.18954142
3.06336232	-.18788401
3.08795039	-.18555173
3.11254502	-.18268825
3.13714606	-.17946254
3.16175336	-.17603941
3.21098519	-.16909580
3.26024038	-.16236780
3.30951788	-.15573276
3.35881672	-.14886611
3.43280446	-.13780929
3.50683523	-.12713028
3.58090637	-.11670973
3.65501540	-.10706753
3.72915898	-.09903072
3.80333613	-.09185894
3.87754492	-.08380697
3.95178356	-.07329043
4.07557738	-.04695245
4.19944265	-.01711369
4.32337323	-.00077425
4.44736367	0
4.57140909	0
4.69550513	0
4.81964788	0
4.94383383	0
5.19232384	0
5.44095228	0
5.68970098	0
5.93855484	0
6.43652730	0
6.93479147	0
7.43328871	0
7.93197506	0
9.17931703	0
10.42729560	0
11.67570664	0
12.92442483	0
